,Country,Number of Death,lat,lon,index,CODE,Country_x,Country_y,ISO3_Code,PopTotal
107,Iraq,11532,33.223191,43.679291,98.0,IRQ,Iraq,Iraq,IRQ,39309789.0
108,Ireland,1965,53.41291,-8.24389,96.0,IRL,Ireland,Ireland,IRL,4882498.0
110,Israel,2706,31.046051,34.851612,100.0,ISR,Israel,Israel,ISR,8519373.0
111,Italy,43589,41.87194,12.56738,101.0,ITA,Italy,Italy,ITA,60550092.0
112,Ivory Coast,127,7.539989,-5.54708,37.0,CIV,Côte d'Ivoire,Ivory Coast,CIV,25716554.0
113,Jamaica,225,18.109581,-77.297508,102.0,JAM,Jamaica,Jamaica,JAM,2948277.0
114,Japan,1851,36.204824,138.252924,104.0,JPN,Japan,Japan,JPN,126860299.0
116,Jordan,1547,30.585164,36.238414,103.0,JOR,Jordan,Jordan,JOR,10101697.0
117,Kazakhstan,1899,48.019573,66.923684,212.0,KAZ,Kazakhstan,Kazakhstan,KAZ,18551428.0
118,Kenya,1203,-0.023559,37.906193,105.0,KEN,Kenya,Kenya,KEN,52573967.0
119,Kiribati,0,-3.370417,-168.734039,107.0,KIR,Kiribati,Kiribati,KIR,117607.0
121,Kuwait,833,29.31166,47.481766,112.0,KWT,Kuwait,Kuwait,KWT,4207077.0
122,Kyrgyzstan,1498,41.20438,74.766098,213.0,KGZ,Kirghizistan,Kyrgyzstan,KGZ,6415851.0
123,Laos,0,19.85627,102.495496,113.0,LAO,Laos,Laos,LAO,7169456.0
124,Latvia,107,56.879635,24.603189,215.0,LVA,Latvia,Latvia,LVA,1906740.0
125,Lebanon,775,33.854721,35.862285,114.0,LBN,Lebanon,Lebanon,LBN,6855709.0
126,Lesotho,44,-29.609988,28.233608,120.0,LSO,Lesotho,Lesotho,LSO,2125267.0
127,Liberia,82,6.428055,-9.429499,115.0,LBR,Liberia,Liberia,LBR,4937374.0
128,Libya,995,26.3351,17.228331,116.0,LBY,Libya,Libya,LBY,6777453.0
129,Liechtenstein,5,47.166,9.555373,118.0,LIE,Liechtenstein,Liechtenstein,LIE,38020.0
130,Lithuania,253,55.169438,23.881275,214.0,LTU,Lithuania,Lithuania,LTU,2759631.0
131,Luxembourg,211,49.815273,6.129583,121.0,LUX,Luxembourg,Luxembourg,LUX,615730.0
132,Macao,0,22.198745,113.543873,122.0,MAC,Macau,Macao,MAC,640446.0
133,Madagascar,249,-18.766947,46.869107,125.0,MDG,Madagascar,Madagascar,MDG,26969306.0
134,Malawi,185,-13.254308,34.301525,138.0,MWI,Malawi,Malawi,MWI,18628749.0
135,Malaysia,304,4.210484,101.975766,139.0,MYS,Malaysia,Malaysia,MYS,31949789.0
136,Maldives,41,3.202778,73.22068,126.0,MDV,Maldives,Maldives,MDV,530957.0
137,Mali,138,17.570692,-3.996166,129.0,MLI,Mali,Mali,MLI,19658023.0
138,Malta,92,35.937496,14.375416,130.0,MLT,Malta,Malta,MLT,440376.0
139,Marshall Islands,0,7.131474,171.184478,128.0,MHL,Marshall Islands,Marshall Islands,MHL,58791.0
141,Mauritania,165,21.00789,-10.940835,135.0,MRT,Mauritania,Mauritania,MRT,4525698.0
142,Mauritius,10,-20.348404,57.552152,137.0,MUS,Mauritius,Mauritius,MUS,1269670.0
144,Mexico,97056,23.634501,-102.552784,127.0,MEX,Mexico,Mexico,MEX,127575529.0
145,Micronesia,0,7.425554,150.550812,69.0,FSM,"Micronesia, Federated states of",Micronesia,FSM,113811.0
146,Moldova,1969,47.411631,28.369885,216.0,MDA,Moldova,Moldova,MDA,4043258.0
147,Monaco,4,43.750298,7.412841,124.0,MCO,Monaco,Monaco,MCO,38967.0
148,Mongolia,0,46.862496,103.846656,132.0,MNG,Mongolia,Mongolia,MNG,3225165.0
150,Montserrat,1,16.742498,-62.187366,136.0,MSR,Montserrat,Montserrat,MSR,4991.0
151,Morocco,4570,31.791702,-7.09262,123.0,MAR,Morocco,Morocco,MAR,36471766.0
152,Mozambique,104,-18.665695,35.529562,134.0,MOZ,Mozambique,Mozambique,MOZ,30366042.0
154,Myanmar,1508,21.913965,95.956223,131.0,MMR,Myanmar,Myanmar,MMR,54045422.0
155,Namibia,135,-22.95764,18.49041,140.0,NAM,Namibia,Namibia,NAM,2494524.0
156,Nauru,0,-0.522778,166.931503,150.0,NRU,Nauru,Nauru,NRU,10764.0
157,Nepal,1202,28.394857,84.124008,149.0,NPL,Nepal,Nepal,NPL,28608715.0
158,Netherlands,8304,52.132633,5.291266,146.0,NLD,Netherlands,Netherlands,NLD,17097123.0
160,New Zealand,25,-40.900557,174.885971,151.0,NZL,New Zealand,New Zealand,NZL,4783062.0
161,Nicaragua,158,12.865416,-85.207229,144.0,NIC,Nicaragua,Nicaragua,NIC,6545503.0
162,Niger,69,17.607789,8.081666,141.0,NER,Niger,Niger,NER,23310718.0
163,Nigeria,1162,9.081999,8.675277,143.0,NGA,Nigeria,Nigeria,NGA,200963603.0
164,Niue,0,-19.054445,-169.867233,145.0,NIU,Niue,Niue,NIU,1614.0
167,North Macedonia,1238,41.608635,21.745275,73.0,MKD,Macedonia,North Macedonia,MKD,2083458.0
168,Northern Mariana Islands,0,17.33083,145.38469,133.0,MNP,Northern Mariana Islands,Northern Mariana Islands,MNP,57213.0
169,Norway,291,60.472024,8.468946,148.0,NOR,Norway,Norway,NOR,5378859.0
170,Oman,1326,21.512583,55.923255,153.0,OMN,Oman,Oman,OMN,4974992.0
171,Pakistan,7092,30.375321,69.345116,155.0,PAK,Pakistan,Pakistan,PAK,216565316.0
172,Palau,0,7.51498,134.58252,160.0,PLW,Pacific Islands (Palau),Palau,PLW,18000.0
173,Palestine,542,31.952162,35.233154,166.0,PSE,Occupied Palestinian Territory,Palestine,PSE,4981422.0
174,Panama,2830,8.537981,-80.782127,156.0,PAN,Panama,Panama,PAN,4246440.0
175,Papua New Guinea,7,-6.314993,143.95555,161.0,PNG,Papua New Guinea,Papua New Guinea,PNG,8776119.0
176,Paraguay,1543,-23.442503,-58.443832,165.0,PRY,Paraguay,Paraguay,PRY,7044639.0
177,Peru,35067,-9.189967,-75.015152,158.0,PER,Peru,Peru,PER,32510462.0
178,Philippines,7752,12.879721,121.774017,159.0,PHL,Philippines,Philippines,PHL,108116621.0
180,Poland,9499,51.919438,19.145136,162.0,POL,Poland,Poland,POL,37887771.0
181,Portugal,3181,39.399872,-8.224454,164.0,PRT,Portugal,Portugal,PRT,10226178.0
182,Puerto Rico,122,18.220833,-66.590149,163.0,PRI,Puerto Rico,Puerto Rico,PRI,2933404.0
183,Qatar,234,25.354826,51.183884,167.0,QAT,Qatar,Qatar,QAT,2832071.0
185,Romania,8684,45.943161,24.96676,168.0,ROU,Romania,Romania,ROU,19364558.0
186,Russia,32443,61.52401,105.318756,217.0,RUS,Russia,Russia,RUS,145872260.0
187,Rwanda,41,-1.940278,29.873888,169.0,RWA,Rwanda,Rwanda,RWA,12626938.0
189,"Saint Helena, Ascension and Tristan da Cunha",0,-24.143474,-10.030696,175.0,SHN,Saint Helena,"Saint Helena, Ascension and Tristan da Cunha",SHN,6061.0
190,Saint Kitts and Nevis,0,17.357822,-62.782998,108.0,KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,KNA,52833.0
191,Saint Lucia,2,13.909444,-60.978893,117.0,LCA,Saint Lucia,Saint Lucia,LCA,182795.0
194,Samoa,0,-13.759029,-172.104629,229.0,WSM,Samoa,Samoa,WSM,197093.0
195,San Marino,45,43.94236,12.457777,180.0,SMR,San Marino,San Marino,SMR,33864.0
196,Sao Tome and Principe,16,0.18636,6.613081,182.0,STP,Sao Tome and Principe,Sao Tome and Principe,STP,215048.0
197,Saudi Arabia,5605,23.885942,45.079162,170.0,SAU,Saudi Arabia,Saudi Arabia,SAU,34268529.0
198,Senegal,326,14.497401,-14.452362,173.0,SEN,Senegal,Senegal,SEN,16296362.0
200,Seychelles,0,-4.679574,55.491977,186.0,SYC,Seychelles,Seychelles,SYC,97741.0
201,Sierra Leone,74,8.460555,-11.779889,178.0,SLE,Sierra Leone,Sierra Leone,SLE,7813206.0
202,Singapore,28,1.352083,103.819836,174.0,SGP,Singapore,Singapore,SGP,5804343.0
204,Slovakia,491,48.669026,19.699024,48.0,SVK,Slovak Republic,Slovakia,SVK,5457012.0
205,Slovenia,724,46.151241,14.995463,74.0,SVN,Slovenia,Slovenia,SVN,2078654.0
206,Solomon Islands,0,-9.64571,160.156194,177.0,SLB,Solomon Islands,Solomon Islands,SLB,669821.0
207,Somalia,107,5.152149,46.199616,181.0,SOM,Somalia,Somalia,SOM,15442906.0
208,South Africa,20076,-30.559482,22.937506,231.0,ZAF,South Africa,South Africa,ZAF,58558267.0
212,Spain,40461,40.463667,-3.74922,62.0,ESP,Spain,Spain,ESP,46736782.0
213,Sri Lanka,48,7.873054,80.771797,119.0,LKA,Sri Lanka,Sri Lanka,LKA,21323734.0
214,St. Vincent Grenadines,0,12.984305,-61.287228,223.0,VCT,Saint Vincent and the Grenadines,St. Vincent Grenadines,VCT,110592.0
